User ID,name,Gender,Age,EstimatedSalary,Purchased
10137,Caroline Thomas,Female,40,65459,1
10138,Christopher Coleman,Male,53,124273,0
10139,Jessica Mitchell,Male,32,102428,0
10140,Walter Scott,Male,34,25290,0
10141,Monica Smith,Female,55,118019,1
10142,Tammy Hicks,Male,39,66824,1
10143,Steven Estrada,Male,59,140569,1
10144,Tabitha Mcgrath,Male,40,136911,0
10145,Carol Johnson,Female,30,110497,0
10146,Nicole Morrow,Male,37,11188,0
10147,Alan Perez,Female,51,45530,1
10148,Angela Nolan,Male,52,62992,0
10149,Malik Gutierrez,Male,57,89069,0
10150,Paul Bush,Female,54,144663,0
10151,Stephanie Pacheco,Male,33,120951,1
10152,Melinda Murray,Male,22,13616,1
10153,Amanda Lloyd,Female,38,129437,0
10154,Tyler Brooks,Male,49,49720,1
10155,Lindsey Cummings,Female,28,64792,1
10156,Dana Martin,Female,41,57624,0
10157,Jerry Warren,Male,49,57241,1
10158,Kathryn Ward,Female,54,124943,1
10159,Jason Austin,Male,25,121697,1
10160,Ryan English,Female,22,125013,0
10161,Renee Hall,Male,58,53727,0
10162,Tracy Frey,Female,51,65581,0
10163,Kim Clark,Male,40,148372,1
10164,Randall Thornton,Female,37,103276,1
10165,Kathleen Owen,Female,44,82826,0
10166,Theresa Solis,Female,20,74224,1
10167,Eddie Osborn,Male,55,130972,1
10168,Antonio Williams,Female,45,54738,1
10169,Roy Wilson,Female,57,10848,0
10170,Jose Mills,Male,21,136040,1
10171,Heather Anderson,Female,30,106907,0
10172,Chase Hernandez,Female,31,66179,1
10173,Miss Ana Williamson DDS,Female,44,59426,1
10174,Brenda Frazier,Male,49,43884,0
10175,Michelle Sampson,Male,32,147281,1
10176,Jeffery Chapman,Female,27,28535,1
10177,Tina Trevino,Male,31,11224,0
10178,Mark Richardson,Female,34,111203,0
10179,Patricia Thompson,Female,28,104857,1
10180,Valerie Combs DDS,Male,51,27566,1
10181,Richard Kaiser,Female,32,99509,0
10182,Johnny Tanner,Male,30,129364,1
10183,Edwin Smith,Female,54,111363,0
10184,Brandy Snyder,Female,46,127052,1
10185,Roy Crosby,Female,45,73794,0
10186,Derek Bates,Male,58,122354,0
10187,Holly Haas,Female,30,129183,0
10188,Travis Campbell,Female,31,97477,-1
10189,Taylor Holland,Male,38,124058,-1
10190,Steven Elliott,Male,51,26282,1
10191,Michelle Garcia,Female,45,140515,1
10192,Joseph Rojas,Female,20,106102,0
10193,Chase Lee,Female,20,31322,-1
10194,Corey Perez,Female,20,29442,1
10195,Suzanne Diaz,Female,31,51117,0
10196,Becky Gonzalez,Male,22,108115,0
10197,Christopher Wells,Male,51,108474,1
10198,Cindy Ortiz,Male,23,33788,1
10199,Lisa Cohen,Male,29,62423,0
10200,Melissa Blanchard,Male,47,50270,1
10201,Jennifer Morton,Female,56,72772,0
10202,Dr. Jennifer Stewart,Male,23,96540,1
10203,Jillian Taylor,Male,29,13303,1
10204,Elizabeth Ramsey,Male,49,146788,1
10205,Justin Mendez,Female,43,77242,1
10206,Chad Lynn,Male,34,13778,1
10207,Monica Miller,Female,45,53405,1
10208,Jack Brown,Male,40,33384,0
10209,Peter Peterson,Male,33,45428,1
10210,Kathryn Jackson,Female,37,117049,1
10211,Brian Morton,Female,27,67944,1
10212,Leah Morales,Female,31,46891,0
10213,Joseph Taylor,Female,26,53822,1
10214,Sydney Young,Male,33,80365,0
10215,Frank Garcia,Female,38,85151,0
10216,Steven Stafford,Female,42,14840,0
10217,Andrew Martinez,Male,27,121151,1
10218,Tara Crane,Male,54,19309,1
10219,Nicole Dorsey,Male,30,28564,0
10220,James Miles,Male,58,27049,0
10221,Daniel Taylor,Female,56,120419,1
10222,Beverly Alvarez,Male,55,82269,0
10223,John Williams,Female,51,77288,1
10224,Alan Hudson,Female,51,86119,0
10225,Jordan Jackson,Female,42,29357,0
10226,Lisa Smith,Male,56,97099,0
10227,Lisa Santiago,Female,52,132432,0
10228,Erin Perry,Male,39,90130,0
10229,Katherine Jackson,Female,42,49489,1
10230,Justin Miranda,Male,33,55308,1
10231,Patrick Kim,Female,55,68561,0
10232,Carol Lawson,Male,32,57248,0
10233,Victoria Leonard,Female,56,85892,0
10234,Samuel Wise,Female,29,11493,1
10235,Amanda Morrison,Male,47,110621,0
10236,Lori Small,Male,52,124030,0
10237,Sean Zimmerman,Male,28,112069,0
10238,Jeremy Kim,Female,46,30360,0
10239,Joyce Simmons,Female,48,17160,1
10240,Yvonne Taylor,Female,54,87449,1
10241,Joshua Bright,Female,39,42861,0
10242,Kelly Sanchez,Male,39,134609,0
10243,Carol Gray,Male,37,99617,1
10244,Billy Valdez,Male,28,130832,1
10245,Paul Lopez,Male,44,23687,-1
10246,Justin West,Female,28,67585,0
10247,Timothy Thornton,Female,31,84673,1
10248,Thomas Wilkins,Female,34,11570,1
10249,Deborah Jackson,Male,25,109071,1
10250,Tina Jones,Female,42,62256,1
10251,Heather Martin,Male,42,125349,1
10252,Christopher Sanchez,Female,53,129952,0
10253,Christopher Velasquez,Male,56,82119,1
10254,Stephanie Reyes,Female,49,33661,1
10255,Matthew Armstrong,Female,25,50125,-1
10256,Joshua Browning,Female,40,65837,0
10257,Melissa Park,Female,38,49755,0
10258,Christine Brown,Male,22,67495,-1
10259,Carrie Baker,Female,53,120151,1
10260,Tina Baker,Male,40,23862,0
10261,Heidi Stokes,Female,48,11833,0
10262,Peter Hernandez,Female,53,139311,1
10263,Thomas Wilson,Male,32,124013,1
10264,Jessica Maldonado,Female,30,16380,0
10265,Emily Ford,Female,32,62198,1
10266,Michael Cruz,Female,31,57603,0
10267,Gregory Edwards,Female,36,56531,1
10268,Dawn Brewer,Female,30,45146,0
10269,Christopher Morris,Female,35,47786,0
10270,John Sanders,Female,51,116319,1
10271,Elizabeth Cannon,Male,59,39649,1
10272,Patricia Larson,Male,32,80573,0
10273,Kara Collins,Female,39,71111,1
10274,Thomas Garcia,Male,27,55722,0
10275,Teresa Guerra,Male,41,37512,0
10276,David Butler,Male,33,138644,1
10277,Sarah Ramos,Female,39,97197,1
10278,Nicholas Hernandez,Male,57,19905,0
10279,Nicole Pratt,Male,57,80369,0
10280,Kari Kirby,Male,50,145719,0
10281,Nicole Howard,Female,59,16169,0
10282,Allison Hobbs,Male,57,140013,1
10283,Nicholas Garza,Male,46,41589,1
10284,Kimberly Henry,Female,54,26538,0
10285,Mary Kelly,Female,35,126028,1
10286,John Lowery,Female,47,90014,0
10287,Kyle King,Female,34,48397,-1
10288,Emily Ramirez,Female,31,41297,1
10289,Brittany Schmitt,Male,46,40647,1
10290,Leah Gomez,Female,26,122799,1
10291,Adam Thomas,Female,44,92168,-1
10292,Stephen Peters,Female,34,59515,1
10293,Tiffany Padilla,Female,24,116068,0
10294,Justin Hooper,Male,34,111917,1
10295,Gary Martin,Female,39,74641,1
10296,Anthony Smith,Male,43,50686,-1
10297,Jonathan Roberts,Female,54,26838,1
10298,Shelby Schroeder,Male,57,36853,0
10299,Timothy Baker,Male,36,76478,0
10300,Karina Phillips,Female,22,8663,0
10301,Patricia Davis,Male,41,142268,0
10302,Cheryl Price,Female,30,78592,1
10303,Alexander Lin,Male,33,83268,-1
10304,Courtney Webb,Female,57,94307,0
10305,Heather Hansen,Male,27,35845,1
10306,Michael Morgan PhD,Male,31,94659,0
10307,Ryan Perez,Male,25,59234,0
10308,Mark Paul,Male,54,115948,1
10309,Mia Mathis,Female,39,111466,0
10310,Cameron Santos,Female,33,108165,1
10311,Grant Brown,Male,35,61822,1
10312,Elizabeth Vazquez,Male,33,34642,0
10313,Michael Randall,Female,22,109215,1
10314,Casey Levy,Female,52,41336,0
10315,Tracy Smith,Female,57,53762,1
10316,Mr. Eduardo Chen,Female,27,96449,1
10317,Annette Bell,Male,46,57044,0
10318,Sara Ortiz,Female,58,116415,0
10319,Megan Berry,Male,44,141005,1
10320,Tiffany Kennedy,Male,52,78835,1
10321,Dr. Sarah Hughes DDS,Male,29,36103,0
10322,Kara Rasmussen,Male,28,29409,1
10323,Mark Robinson,Male,43,24212,0
10324,Carla Hart,Female,39,87185,1
10325,Michael Robinson,Male,59,100939,1
10326,Connor Kelly,Male,57,131995,1
10327,Casey Singh MD,Male,56,94363,1
10328,Tamara Sims,Female,38,122786,1
10329,Erica Booth,Male,35,19312,0
10330,Dustin Gonzalez,Male,37,114507,1
10331,Edward West,Male,37,12472,0
10332,John Hughes,Male,25,96322,0
10333,Cindy Henson,Male,43,128091,0
10334,Carolyn Bradford,Female,34,26942,1
10335,James Buchanan,Male,39,87860,1
10336,Ronald Palmer,Male,51,116068,0
10337,Charles Garcia,Male,51,96267,1
10338,Donald Lewis,Male,42,148093,1
10339,Justin Nguyen,Male,43,99265,-1
10340,Robert Davis,Female,37,84908,0
10341,Audrey Weaver,Female,53,59279,1
10342,Amy Golden,Female,24,97713,0
10343,Ronald Ball,Male,22,129815,1
10344,Jane May,Male,26,64935,-1
10345,Justin Jordan,Female,57,117586,1
10346,Andrew Morris,Male,58,117119,0
10347,Jennifer White,Female,24,145479,1
10348,Dominique Clark,Male,28,68754,0
10349,Erin Crawford,Male,22,14050,-1
10350,Angela Lloyd,Female,27,130311,1
10351,Brendan Nelson,Male,47,145605,1
10352,Ian Brooks,Male,44,71661,1
10353,Larry Grimes,Female,47,93094,0
10354,Joshua Miranda,Female,28,108073,1
10355,Jeffery Gilbert,Male,22,132718,0
10356,Melissa Miller,Male,51,64830,1
10357,Joel Lawrence,Male,21,124223,0
10358,Ashley Adams,Female,38,94630,0
10359,Dr. Mindy Evans,Male,28,34273,0
10360,Michelle Lopez,Male,38,28804,0
10361,Megan Price,Female,27,134290,1
10362,Mrs. Jennifer Johnson,Male,37,141533,0
10363,Mr. Ronald Acosta,Male,25,12155,1
10364,Brenda King,Female,35,98953,0
10365,Frank Adams,Male,33,100478,1
10366,Timothy Mills,Female,45,143009,1
10367,Tina Perez,Male,49,55841,1
10368,Maureen Willis,Female,34,91931,1
10369,Kathleen Graves,Female,35,70648,0
10370,Dylan Byrd,Female,48,9942,0
10371,Elijah Robertson,Female,22,127659,1
10372,Diana Rodriguez,Female,30,141069,1
10373,Michael Middleton,Male,34,107574,0
10374,Melissa Hernandez,Female,48,78639,1
10375,Megan Mays,Male,58,143995,0
10376,Tracey Gross,Female,53,120453,0
10377,Tammy Moore,Male,50,126278,1
10378,John Gonzalez,Male,32,13851,-1
10379,Veronica Schwartz DDS,Male,50,96947,0
10380,John Peterson,Female,36,131391,0
10381,Bonnie Peterson,Female,57,62904,0
10382,Jacob Garcia,Female,44,79531,0
10383,Sarah Butler,Female,22,126127,0
10384,Vincent Simpson,Female,37,102616,0
10385,Eric Allison,Female,26,80414,0
10386,Christopher Nelson,Female,47,134762,0
10387,Kaitlyn Little,Female,39,23069,1
10388,Tina Stafford,Female,28,146905,1
10389,Marissa Singh,Female,20,95864,1
10390,Michelle Munoz,Female,34,11572,1
10391,Samantha Boyer,Male,41,102557,1
10392,Brian Sims,Male,43,64241,0
10393,Francisco Johnson,Female,48,35663,0
10394,Lori Robinson,Male,21,129130,1
10395,Antonio Oliver,Male,33,121797,1
10396,Barbara Martin,Male,47,130248,0
10397,Mary Frederick,Female,53,83765,1
10398,Amanda Weber,Male,54,49652,0
10399,Justin Dean,Female,24,113929,1
10400,James Hanna,Male,51,107855,1
10401,Deborah Johnson,Male,53,32711,0
10402,Dawn Mann,Female,57,58592,1
10403,Roy Rosario,Female,22,107506,0
10404,David Anderson,Female,21,64393,1
10405,Thomas Randolph MD,Female,38,27935,1
10406,Jason Herrera,Male,23,16835,0
10407,Shelby White,Male,48,100683,0
10408,Michael Anderson,Female,24,59572,1
10409,Curtis Tucker,Female,44,88314,-1
10410,Donald Cain,Male,50,95812,1
10411,Patrick Small,Male,32,108815,1
10412,Tara Hicks,Male,26,131596,1
10413,Colleen Foster,Male,48,128748,1
10414,Charles Chen,Female,42,112304,1
10415,Michele Smith,Female,38,140563,0
10416,James Lewis,Female,46,113390,0
10417,Melissa Freeman,Male,41,50787,0
10418,Dana Sanford,Female,25,116760,1
10419,Paul Harris,Female,38,27328,0
10420,Wendy Berry,Male,52,20990,0
10421,Mrs. Michelle Barnes,Female,38,85006,1
10422,Vincent Perry,Female,28,11113,1
10423,Laura Sanders,Male,39,28486,0
10424,Hailey Snyder,Male,36,134938,0
10425,Adriana Johnson,Male,31,94423,1
10426,Adriana Jenkins,Male,34,109115,0
10427,Patrick Campbell,Male,59,24547,0
10428,Robert Salinas,Male,21,44897,1
10429,Scott Schwartz,Female,41,105302,0
10430,Kenneth Haley,Male,30,146727,0
10431,Todd Henderson,Male,45,149378,0
10432,Michael Green,Female,43,85250,0
10433,Jonathan Wagner,Male,39,47722,1
10434,Amy Harris,Male,55,140883,0
10435,Timothy Watson,Female,22,19256,0
10436,Anthony Rowe,Female,37,118707,0
10437,Justin Clark,Female,57,111960,1
10438,Victoria Johnson,Female,41,29335,1
10439,Zachary Booth,Male,32,76273,1
10440,Joseph Rivas,Female,26,100893,1
10441,Dorothy Owens DVM,Female,44,105120,0
10442,Ryan Melendez,Male,57,123042,0
10443,Sherry Hensley,Female,44,116853,1
10444,Jose Hinton,Female,30,84495,0
10445,Robert Ali,Female,52,76075,1
10446,Kelly Davis,Female,39,43057,0
10447,Richard Rogers,Male,35,102643,0
10448,Michael Juarez,Male,33,40843,0
10449,Courtney Higgins,Male,40,123836,0
10450,Christian Huynh,Female,21,121727,0
10451,Marissa White MD,Female,28,114180,0
10452,Kiara Martinez,Female,41,69253,0
10453,Olivia Allen,Male,29,12852,1
10454,Kevin Johnson,Male,46,58390,0
10455,Kristina Clark,Male,52,60495,0
10456,Matthew Garcia,Female,41,109065,1
10457,Brooke Bates,Male,27,79970,0
10458,Taylor Miller,Female,38,38711,1
10459,Jason Lee,Female,55,101459,0
10460,Scott Diaz,Female,45,53676,0
10461,Lynn Weaver,Male,40,54223,1
10462,Matthew Walker,Female,42,133884,1
10463,Lauren Durham,Male,59,8916,1
10464,Sherry Saunders,Female,42,68058,0
10465,Melissa Taylor,Female,50,80550,0
10466,Brian Flores,Female,21,102148,1
10467,Gina Kidd,Female,32,44273,1
10468,Teresa Thompson MD,Female,23,10470,0
10469,Elizabeth Johnson,Male,50,140812,0
10470,Darlene Monroe,Male,34,119208,0
10471,Gavin Evans,Male,35,114265,1
10472,Lisa Padilla,Male,25,50475,1
10473,Megan Lambert,Female,58,74127,1
10474,Kyle Diaz,Male,59,20852,0
10475,Mark Gonzalez,Female,40,47725,0
10476,Erik Rojas,Female,49,67712,-1
10477,Melinda Ryan,Female,32,89168,1
10478,Nicole Erickson,Female,56,131199,0
10479,Jessica Cox,Male,44,95250,1
10480,Cameron Kirk,Male,27,47616,0
10481,Richard Jackson,Male,26,142146,1
10482,Paul Hall,Female,23,96521,0
10483,Kevin Holmes,Male,30,93122,0
10484,Mario Hickman,Male,29,78509,1
10485,Matthew Zhang,Female,42,81410,1
10486,Timothy Small,Female,32,96828,0
10487,James Roy,Male,39,17890,1
10488,Christine Trujillo,Female,25,115616,1
10489,Allen Shea,Female,53,75724,1
10490,Sherry Martinez,Male,52,56440,-1
10491,Erin Smith,Male,34,80031,1
10492,Brianna Shelton,Female,30,63026,1
10493,Michael Newton,Female,28,130726,1
10494,Micheal Haynes,Male,34,73030,0
10495,Kayla Mayo,Female,48,74758,1
10496,Kevin Brock,Female,21,135473,1
10497,Sarah Wright,Male,46,89772,0
10498,Jessica Schmidt,Female,29,28738,1
10499,Stephen Richard,Male,41,78521,1
10500,Julie Jones,Male,33,20281,0
10501,Cassandra Rice,Female,51,9679,0
10502,Phillip Cervantes,Female,43,20354,-1
10503,Paige Garcia,Female,59,130715,0
10504,Roy Williamson,Female,47,85645,1
10505,Kyle Montgomery,Male,23,120624,0
10506,Sarah Guerrero,Female,54,118044,1
10507,Jimmy Taylor,Female,20,74027,1
10508,Tina Allen,Female,42,8317,0
10509,Linda Cooper,Female,22,116573,-1
10510,Allison Caldwell,Female,25,148933,1
10511,Nancy Curtis,Male,22,19487,0
10512,Elizabeth Murphy,Female,53,47784,0
10513,Brian Palmer,Female,23,17947,1
10514,Leah Dixon,Female,26,42745,0
10515,Brianna Thompson,Female,29,37197,0
10516,Denise Brown,Female,49,69105,0
10517,Jamie May,Male,49,55127,1
10518,Tina Thompson,Male,51,64511,0
10519,Cameron Harrison,Male,50,95444,1
10520,Kathy Thompson,Male,57,48102,1
10521,Ashley Pratt,Male,57,101052,-1
10522,Jesse Hill,Male,34,132602,0
10523,Luke Lewis,Male,58,50904,0
10524,Michael York,Male,37,108528,0
10525,Sharon Lucas,Male,56,72157,0
10526,Stephen Spencer,Male,41,22839,0
10527,Jocelyn Lewis,Female,20,61581,0
10528,Marie Bond,Male,22,129122,0
10529,Derek Parker,Male,58,61746,1
10530,Daniel Allison,Male,30,20243,0
10531,Bobby Rogers,Female,46,43141,0
10532,Savannah Todd,Male,36,12780,1
10533,Tara Wade,Male,26,76182,0
10534,Timothy Moyer,Male,32,103426,0
10535,Jennifer Nguyen,Female,27,57367,1
10536,Steven Woods,Male,21,116216,1
10537,Justin Roberts,Male,39,82782,0
10538,Elizabeth Anderson,Female,49,31196,1
10539,Keith Grant,Male,47,33157,1
10540,Riley Carroll,Female,26,24957,1
10541,Vanessa Mendoza,Male,21,130914,1
10542,Mary Ross,Male,33,148484,-1
10543,Lindsey Gaines,Male,53,74513,0
10544,Karina Tate,Male,34,118238,1
10545,Paul Black,Female,55,130364,0
10546,Lisa Mcfarland,Male,28,25248,1
10547,Scott Fuentes,Female,46,57449,1
10548,Benjamin Mclaughlin,Male,49,70848,0
10549,Margaret Landry,Male,47,60375,0
10550,Lindsay Bates,Female,59,140355,0
10551,Terri Davis,Male,52,43589,0
10552,Ryan Martin,Male,49,80632,1
10553,Carolyn Jacobson,Male,57,128418,1
10554,Edward Fowler,Female,21,48637,0
10555,Jacqueline Dickson,Female,44,96609,0
10556,Timothy Cummings,Female,42,117136,1
10557,Lisa Woods,Female,58,43104,0
10558,Mary Mclean,Female,27,25550,0
10559,Andrew Clements,Female,31,104714,1
10560,James Williams,Female,23,57403,0
10561,Stephen Shaw,Male,33,100081,0
10562,Melanie Scott,Female,46,36976,0
10563,Jaime Ward,Male,32,123669,0
10564,Theresa Dunn,Female,36,35459,1
10565,Mrs. Jillian Brewer,Male,57,99974,0
10566,Zachary Strong,Female,55,110429,0
10567,Amanda Heath,Female,27,43692,-1
10568,James Quinn,Female,49,27754,0
10569,Craig Vincent,Female,29,138922,1
10570,Jonathan Barry,Female,43,8328,1
10571,Scott Hernandez,Male,58,70516,1
10572,Michelle Yang,Male,26,129752,1
10573,Peter Jackson,Male,32,48443,0
10574,Christopher Nash,Female,34,102195,1
10575,Linda Luna,Male,23,122651,0
10576,Matthew White,Male,36,69510,1
10577,Scott Martin,Female,23,37308,0
10578,Tyler Bell,Female,25,98904,0
10579,Aaron Lewis,Male,58,46529,0
10580,Cheryl Morgan,Male,35,36549,0
10581,Justin Williams,Female,58,66237,0
10582,Jacqueline Robinson,Female,55,105391,1
10583,Samantha Vargas,Male,52,89081,0
10584,Joel Gonzalez,Female,26,78763,-1
10585,Richard Murphy,Male,43,94487,1
10586,Catherine Mills,Female,52,94918,0
10587,Melissa Davis,Female,31,10029,0
10588,Rebekah Reynolds,Female,46,40646,-1
10589,Michael Grimes,Female,53,105143,0
10590,Jared Rice,Male,43,107743,0
10591,Angel Johnson,Male,31,134351,1
10592,Nicholas Johnson,Female,47,8371,1
10593,Tracy Ross,Female,21,132719,0
10594,Joseph Chan,Male,22,113455,1
10595,Jennifer Nicholson,Male,21,24335,0
10596,Dr. James Erickson Jr.,Female,21,131980,0
10597,Stephanie Pineda,Male,56,68899,0
10598,Abigail Haley,Male,44,37388,1
10599,Maria Saunders,Female,20,147404,1
10600,Brittany Jensen,Female,36,63536,1
10601,Melissa Baldwin,Male,46,44223,-1
10602,Elizabeth Bennett,Female,52,59081,0
10603,Marc Clark,Male,21,129372,0
10604,Heather Hahn,Female,26,104008,1
10605,Heather Robinson,Male,33,126456,0
10606,Janet Dennis,Female,23,122372,0
10607,Andre Mercer,Male,43,119479,1
10608,Anne Bullock,Female,48,43581,0
10609,Nathan Russell,Female,42,8752,1
10610,Joseph Smith,Female,33,96315,1
10611,Shannon Ramirez,Male,29,132761,0
10612,Lisa Franco,Male,55,131777,0
10613,Christina Boyd,Male,48,14612,1
10614,Adam Kelly,Female,56,36792,0
10615,Jessica Bean,Female,46,65399,1
10616,Michael Gregory,Male,28,46276,1
10617,Sheena Dudley,Male,38,108670,1
10618,Kelsey Brown,Male,27,14717,1
10619,Michael Lee,Male,25,133066,1
10620,Brandi Mosley,Female,58,103429,0
10621,Rebecca Williamson,Male,31,18961,-1
10622,Gabriel King,Male,20,116665,1
10623,Nicole Williams,Female,36,46624,1
10624,Susan Carter,Female,57,37075,1
10625,Sherry Cervantes,Male,58,124970,0
10626,Danny Johnson,Female,41,62961,0
10627,Kelly Mata,Female,53,56966,1
10628,Mary Newton,Female,52,16403,0
10629,David Wallace,Male,29,26570,0
10630,Dominique Campbell,Female,21,101152,0
10631,Michael Miller,Male,35,56558,1
10632,Robert Wagner,Male,47,99353,0
10633,Kathleen Paul,Female,34,75106,1
10634,Maria Liu MD,Female,20,100866,0
10635,Robert Pittman,Female,20,107614,0
10636,Michael Lee,Female,56,128273,0
10637,Katherine Garrett,Male,45,55336,1
10638,Dustin Perez,Male,33,136121,1
10639,Valerie Banks,Male,42,117755,-1
10640,Danielle Sloan,Female,35,36593,1
10641,Mary Garcia,Female,54,12424,-1
10642,Katherine Robbins,Male,55,101498,0
10643,Michael Jones,Male,31,18422,1
10644,Debra Jackson,Female,34,29178,1
10645,Jennifer Pineda,Female,22,73016,0
10646,Karla Vasquez,Male,35,131702,1
10647,Amanda Young,Male,36,81596,0
10648,Amanda Jones,Female,26,53344,0
